ODOMETRY -0.0000000 0.0000000 0.0000000
ODOMETRY 0.0000000 0.0000000 0.0000000
ODOMETRY -0.0002798 0.0182247 0.0002798
ODOMETRY 0.0022060 0.0313237 0.0007915
ODOMETRY -0.0009558 0.0535351 0.0009558
ODOMETRY 0.0035618 0.0256281 0.0114256
ODOMETRY 0.0110714 0.0324622 0.0099110
ODOMETRY 0.0094024 0.0125293 0.0145775
ODOMETRY 0.0304409 0.0347380 0.0145214
ODOMETRY 0.0137205 0.0296134 0.0222493
ODOMETRY 0.0061599 0.0153770 -0.0031624
ODOMETRY 0.0353689 0.0341660 0.0245809
ODOMETRY 0.0120821 0.0375876 0.0118977
ODOMETRY 0.0097639 0.0210718 0.0172135
ODOMETRY 0.0184235 0.0387267 0.0115514
ODOMETRY 0.0338055 0.0512449 0.0381342
ODOMETRY 0.0371109 0.0523852 0.0168438
ODOMETRY -3.1327281 0.0062647 3.1357256
ODOMETRY -0.0099715 0.0130988 -0.0050159
ODOMETRY -0.0285743 0.0341680 -0.0193855
ODOMETRY -0.0055775 0.0142380 -0.0034150
ODOMETRY -0.0178423 0.0301832 -0.0151300
ODOMETRY 0.0123501 0.0210711 0.0206222
ODOMETRY 0.0222105 0.0438506 -0.0012281
ODOMETRY 0.0414174 0.0358733 0.0335198
ODOMETRY 0.0135530 0.0256261 0.0194193
ODOMETRY 0.0144232 0.0256264 0.0245442
ODOMETRY 0.0074273 0.0250589 0.0045626
ODOMETRY 0.0187874 0.0318920 0.0111875
ODOMETRY -0.0042508 0.0136684 0.0102457
ODOMETRY 0.0133340 0.0216416 0.0046509
ODOMETRY -0.0005357 0.0159465 0.0065307
ODOMETRY 0.0092916 0.0313233 0.0056959
ODOMETRY 0.0032283 0.0296142 0.0207515
ODOMETRY -0.0053563 0.0079732 -0.0006386
ODOMETRY 0.0063674 0.0091123 -0.0003725
ODOMETRY 0.0198695 0.0398654 0.0101054
ODOMETRY -0.0048848 0.0176548 0.0138773
ODOMETRY 0.0010519 0.0113905 0.0049430
ODOMETRY 0.0073429 0.0222112 0.0076446
ODOMETRY -0.0038477 0.0130989 0.0008502
ODOMETRY 0.0050362 0.0062648 0.0099512
ODOMETRY -0.0039862 0.0267675 0.0009887
ODOMETRY 0.0027376 0.0193625 0.0212423
ODOMETRY 0.0064409 0.0227807 0.0115440
ODOMETRY 0.0134886 0.0279061 -0.0104911
ODOMETRY 0.0168839 0.0170850 0.0190860
ODOMETRY 0.0158070 0.0199326 0.0051754
ODOMETRY 0.0031965 0.0039867 0.0057959
ODOMETRY 0.0078159 0.0159462 0.0101690
ODOMETRY 0.0042765 0.0233504 0.0047160
ODOMETRY 0.0223204 0.0318915 0.0136494
ODOMETRY -0.0114969 0.0085427 0.0025045
ODOMETRY 0.0120488 0.0153764 0.0149285
